Produto;Descrição;Unidade
589;PRODUCAO DE 1 LT - XAROPE DE CANELA;L
364;ACUCAR CRISTAL (GRANULADO);KG
367;ACUCAR REFINADO ESPECIAL;KG
366;ADOCANTE EM PO SACHET;KG
220;AGUA DE COCO 330ML;UN
223;AGUA INDAIA COM GÁS 330 ML;UN
222;AGUA MINALBA PREMIUM COM GÁS 300 ML;UN
221;AGUA MINALBA PREMIUM SEM GÁS 300 ML;UN
7075;AGUA TONICA FYS  350 ML;UN
7662;AGUA TONICA FYS ZERO  350 ML;UN
2611;ANGOSTURA BITTER;L
1070;ANIZ ESTRELADO;KG
166;APERITIVO APEROL;DS
165;APERITIVO ITALIANO CAMPARI;DS
6314;APERITIVO LILLET DOSE;DS
169;CACHACA YPIOCA 150 ANOS DOSE;DS
174;CACHACA YPIOCA 160 ANOS DOSE;DS
4603;CACHACA YPIOCA PRATA DOSE;DS
7340;CAFE GOURMET;KG
2184;CAFE TRES EXPRESSO AMENO;UN
2192;CAFE TRES EXPRESSO DESCAFEINADO;UN
412;CANELA EM PO;KG
7392;CAPPUCCINO CLASICO;KG
3426;CAPSULAS DE GAS PARA CHANTILLY;UN
7272;CDM - CACAU;KG
6137;CERVEJA AMSTEL LATA 350 ML;UN
3205;CERVEJA BADEN CRISTAL 600ML;UN
3206;CERVEJA BADEN GOLD ALE 600ML;UN
3208;CERVEJA BADEN IPA 600ML;UN
3211;CERVEJA EISENBAHN IPA LONG NECK;UN
3209;CERVEJA EISENBAHN PALE ALE LONG NECK;UN
3204;CERVEJA EISENBAHN PILSEN 355 ML;UN
6054;CERVEJA EISENBAHN SESSION IPA;UN
3210;CERVEJA EISENBAHN WEIZENBIER LONG NECK;UN
2585;CERVEJA HEINEKEN LONG NECK;UN
5527;CERVEJA HEINEKEN ZERO ALCOOL LONG NECK;UN
7659;CERVEJA PRAYA LAGER LONG NECK;UN
3202;CERVEJA SOL LONG NECK;UN
7683;CERVEJA SOL ZERO LONG NECK;UN
7082;CHOPP AMSTEL BARRIL 30 LT;L
228;COCA COLA LATA 350 ML;UN
229;COCA COLA ZERO LATA 350 ML;UN
2115;EMULSIFICANTE;KG
